Player,Team,Actual Goals,FotMob Rating,Expected Goals (xG),Shot Accuracy (%),Matches,Actual Assists,Saves per 90(GK),Total Saves(GK),Clean Sheets(GK),Goals Conceded per 90(GK),Goals Conceded,Chances Created,Chances Created per 90,Big Chances Created,Big Chances Missed,Blocks per 90,Total Blocks,Interceptions per 90,Total Interceptions,Clearances per 90,Total Clearances
Harry Kane,Bayern München,36,8.1,30.6,45.9,32,8,0,0,0,0,0,31,1,13,27,0.1,4,0.2,6,0.4,14
Alejandro Grimaldo,Bayer 04 Leverkusen,10,7.98,5.7,32.4,33,13,0,0,0,0,0,78,2.5,18,1,0.2,7,0.7,22,1.1,35
Serhou Guirassy,VfB Stuttgart,28,7.92,20.8,48.9,28,2,0,0,0,0,0,53,2.2,12,20,0.1,1,0.2,6,1.2,29
Leroy Sané,Bayern München,8,7.82,10.9,38.4,27,11,0,0,0,0,0,72,3,16,8,0.1,0,0.3,7,0.1,2
Florian Wirtz,Bayer 04 Leverkusen,11,7.81,9,47.9,32,11,0,0,0,0,0,74,2.8,12,8,0.1,2,0.3,9,0.1,3
Xavi Simons,RB Leipzig,8,7.81,8.3,40.7,32,11,0,0,0,0,0,79,2.7,14,5,0.1,0,0.5,16,0.1,2
Victor Okoh Boniface,Bayer 04 Leverkusen,14,7.77,15.5,42.5,23,8,0,0,0,0,0,22,1.3,8,16,0.1,1,0.84,0,0.8,13
Granit Xhaka,Bayer 04 Leverkusen,3,7.71,1.8,31.1,33,0,0,0,0,0,0,41,1.3,4,0.2,0.3,8,0.6,19,1.3,40
Kevin Stöger,VfL Bochum,7,7.69,6.2,24,32,9,0,0,0,0,0,127,4.3,17,1,0.1,4,0.6,19,0.5,15
Jamal Musiala,Bayern München,10,7.67,7.9,36.2,24,6,0,0,0,0,0,42,2.1,12,10,0.1,1,0.8,16,0.2,3
Deniz Undav,VfB Stuttgart,18,7.63,15.1,49.5,30,9,0,0,0,0,0,40,1.7,15,12,0.1,0,0.3,6,0.2,5
