Rank,Team,Penalties Conceded,Penalty Goals Conceded,Matches,Country
1,Eintracht Frankfurt,11,9,34,GER
1,VfL Bochum,11,9,34,GER
3,FC Augsburg,10,7,34,GER
3,FC Heidenheim,10,7,34,GER
5,Union Berlin,7,5,34,GER
6,Borussia Mönchengladbach,6,6,34,GER
6,Werder Bremen,6,6,34,GER
8,Borussia Dortmund,6,5,34,GER
9,RB Leipzig,5,4,34,GER
10,SC Freiburg,5,3,34,GER
11,TSG Hoffenheim,5,2,34,GER
12,Bayern München,4,3,34,GER
12,Mainz 05,4,3,34,GER
14,FC Köln,3,3,34,GER
14,VfB Stuttgart,3,3,34,GER
16,Wolfsburg,3,2,34,GER
17,SV Darmstadt,2,1,34,GER
