Rank,Team,Yellow Cards,Red Cards,Matches,Country
1,Mainz 05,97,3,34,GER
2,VfL Bochum,97,2,34,GER
3,SV Darmstadt,83,4,34,GER
4,Wolfsburg,82,5,34,GER
5,TSG Hoffenheim,78,5,34,GER
6,Werder Bremen,73,2,34,GER
7,FC Augsburg,69,3,34,GER
8,"FC Köln	",65,4,34,GER
9,Borussia Mönchengladbach,64,2,34,GER
10,Eintracht Frankfurt,62,5,34,GER
11,SC Freiburg,62,4,34,GER
12,Union Berlin,61,7,34,GER
13,RB Leipzig,59,1,34,GER
14,Bayer Leverkusen,59,0,34,GER
15,Borussia Dortmund,55,4,34,GER
16,FC Heidenheim,54,1,34,GER
16,VfB Stuttgart,54,1,34,GER
18,Bayern München,45,2,34,GER
