Rank,Team,Touches in Opposition Box,Matches,Country
1,Bayern München,1324,34,GER
2,Bayer Leverkusen,1266,34,GER
3,RB Leipzig,989,34,GER
4,VfB Stuttgart,964,34,GER
5,Borussia Dortmund,946,34,GER
6,Eintracht Frankfurt,869,34,GER
7,Mainz 05,852,34,GER
8,FC Augsburg,838,34,GER
9,VfL Bochum,827,34,GER
10,TSG Hoffenheim,794,34,GER
11,Borussia Mönchengladbach,756,34,GER
12,Union Berlin,731,34,GER
13,Werder Bremen,721,34,GER
14,FC Köln,700,34,GER
15,Wolfsburg,689,34,GER
16,SC Freiburg,682,34,GER
17,FC Heidenheim,660,34,GER
18,SV Darmstadt,586,34,GER
